parcel_id,zoning,lot_sqft
03701700015,RESIDENTIAL SINGLE-FAMILY-6,6165
03702000066,RESIDENTIAL SINGLE-FAMILY-6,5250
03700600015,RESIDENTIAL SINGLE-FAMILY-6,7500
04402700009,SINGLE FAMILY RESIDENTIAL,7000
00107200017,MEDIUM DENSITY RESIDENTIAL,1548
00107200018,MEDIUM DENSITY RESIDENTIAL,21756
00107200019,MEDIUM DENSITY RESIDENTIAL,3531
00107200002,MEDIUM DENSITY RESIDENTIAL,5482
00107400003,MEDIUM DENSITY RESIDENTIAL,2664
02200200025,RESIDENTIAL URBAN-1,3720
02200300013,RESIDENTIAL URBAN-1,3720
02200300010,RESIDENTIAL URBAN-1,3720
02201300016,HIGH DENSITY RESIDENTIAL,7750
02202400008,MEDIUM DENSITY RESIDENTIAL,4212
02202400007,MEDIUM DENSITY RESIDENTIAL,4540
02202500011,MEDIUM DENSITY RESIDENTIAL,3240
02202500008,MEDIUM DENSITY RESIDENTIAL,3339
02201300002,HIGH DENSITY RESIDENTIAL,5500
03900600017,MEDIUM DENSITY RESIDENTIAL,5550
02701100015,RESIDENTIAL SINGLE-FAMILY-6,8000
02701000025,RESIDENTIAL SINGLE-FAMILY-6,6840
02700300035,RESIDENTIAL URBAN-1,10050
02700800042,RESIDENTIAL URBAN-1,10000
04001800022,RESIDENTIAL URBAN-1,4480
02105000054,RESIDENTIAL SINGLE-FAMILY-6,6705
04000100078,RESIDENTIAL URBAN-1,7775
04000100074,RESIDENTIAL URBAN-1,7775
04000100073,RESIDENTIAL URBAN-1,7800
04000100071,RESIDENTIAL URBAN-1,7800
04000500015,RESIDENTIAL URBAN-1,6780
04000500016,RESIDENTIAL URBAN-1,3390
04000500022,RESIDENTIAL URBAN-1,5175
04000100059,RESIDENTIAL URBAN-1,7020
02105100029,RESIDENTIAL URBAN-1,5120
02105100030,RESIDENTIAL URBAN-1,6400
02105100031,RESIDENTIAL URBAN-1,6220
02105100040,RESIDENTIAL URBAN-1,9592
02105100034,RESIDENTIAL URBAN-1,7988
02105100035,RESIDENTIAL URBAN-1,10930
04000600014,RESIDENTIAL URBAN-1,4256
02703400035,MEDIUM DENSITY RESIDENTiAL,10000
02703400036,MEDIUM DENSITY RESIDENTIAL,10000
02034000038,MEDIUM DENSITY RESIDENTIAL,5000
02703400037,MEDIUM DENSITY RESIDENTIAL,5000
02703400039,MEDIUM DENSITY RESIDENTIAL,10000
02703400041,MEDIUM DENSITY RESIDENTIAL,10000
02703400045,MEDIUM DENSITY RESIDENTIAL,10000
02703100008,MEDIUM DENSITY RESIDENTIAL,4128
02703100009,MEDIUM DENSITY RESIDENTIAL,4128
02703100010,MEDIUM DENSITY RESIDENTIAL,4128
02703100011,MEDIUM DENSITY RESIDENTIAL,4128
02703100012,MEDIUM DENSITY RESIDENTIAL,4128
02703100013,MEDIUM DENSITY RESIDENTIAL,4128
02703200001,MEDIUM DENSITY RESIDENTIAL,5000
02703200002,MEDIUM DENSITY RESIDENTIAL,5000
02703200003,MEDIUM DENSITY RESIDENTIAL,5000
02703200004,MEDIUM DENSITY RESIDENTIAL,5000
02703200005,MEDIUM DENSITY RESIDENTIAL,5000
02703300006,MEDIUM DENSITY RESIDENTIAL,6000
02703300007,MEDIUM DENSITY RESIDENTIAL,6000
02703300008,MEDIUM DENSITY RESIDENTIAL,6000
02703300009,MEDIUM DENSITY RESIDENTIAL,6000
02703300010,MEDIUM DENSITY RESIDENTIAL,6000
02703300011,MEDIUM DENSITY RESIDENTIAL,6000
02703300012,MEDIUM DENSITY RESIDENTIAL,6000
02703300013,MEDIUM DENSITY RESIDENTIAL,6000
02703300014,MEDIUM DENSITY RESIDENTIAL,6000
02703300015,MEDIUM DENSITY RESIDENTIAL,6000
