parcel_id,address,lot_size_sqft,zoning,max_height_ft,setback_front_ft,setback_side_ft,setback_rear_ft,allowed_units,max_far,est_buildable_sqft,cost_category,rent_category,feasibility,notes
03701700015,2895 NATHAN AVE,6165,RESIDENTIAL SINGLE-FAMILY-6,,,,,,,,,,YES,standard SF infill
03702000066,2854 E PRINCETON AVE,5250,RESIDENTIAL SINGLE-FAMILY-6,,,,,,,,,,EDGE,tight SF envelope
03700600015,2788 E YALE AVE,7500,RESIDENTIAL SINGLE-FAMILY-6,,,,,,,,,,YES,clean SF lot
04402700009,3204 YALE AVE,7000,SINGLE FAMILY RESIDENTIAL,,,,,,,,,,YES,typical infill
00107200017,554 N 4TH ST,1548,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,NO,lot too small
00107200018,556 N 4TH ST,21756,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,YES,strong density
00107200019,556 N 4TH ST,3531,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small but workable
00107200002,0 GREENLAW AVE,5482,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,YES,duplex feasible
00107400003,197 SAFFARANS AVE,2664,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,envelope tight
02200200025,0 N MAIN ST,3720,RESIDENTIAL URBAN-1,,,,,,,,,,YES,urban infill
02200300013,897 N MAIN ST,3720,RESIDENTIAL URBAN-1,,,,,,,,,,YES,urban infill
02200300010,911 N MAIN ST,3720,RESIDENTIAL URBAN-1,,,,,,,,,,YES,urban infill
02201300016,922 N 3RD ST,7750,HIGH DENSITY RESIDENTIAL,,,,,,,,,,YES,high density ok
02202400008,925 N 7TH ST,4212,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,YES,standard MDR
02202400007,927 N 7TH ST,4540,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,YES,standard MDR
02202500011,0 GUTHRIE AVE,3240,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02202500008,275 GUTHRIE AVE,3339,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,EDGE,small MDR lot
02201300002,187 HICKORY AVE,5500,HIGH DENSITY RESIDENTIAL,,,,,,,,,,YES,high density
03900600017,568 WELLS AVE,5550,MEDIUM DENSITY RESIDENTIAL,,,,,,,,,,YES,standard MDR
02701100015,1049 N DUNLAP ST,8000,RESIDENTIAL SINGLE-FAMILY-6,,,,,,,,,,YES,standard SF infill
02701000025,975 LEATH ST,6840,RESIDENTIAL SINGLE-FAMILY-6,,,,,,,,,,EDGE,tight SF envelope
02700300035,1010 TULLY ST,10050,RESIDENTIAL URBAN-1,,,,,,,,,,YES,urban infill
02700800042,950 WOODLAWN ST,10000,RESIDENTIAL URBAN-1,,,,,,,,,,YES,urban infill
04001800022,1084 CAPITAL AVE,4480,RESIDENTIAL URBAN-1,,,,,,,,,,EDGE,small urban lot
02105000054,1110 DECATUR ST,6705,RESIDENTIAL SINGLE-FAMILY-6,,,,,,,,,,YES,standard SF infill
04000100078,1295 DECATUR ST,7775,RESIDENTIAL URBAN-1,,,,,,,,,,YES,urban infill
04000100074,1315 DECATUR ST,7775,RESIDENTIAL URBAN-1,,,,,,,,,,YES,urban infill
