parcel_id,zoning,lot_sqft
10001000005,6700,6098
10001000010,6700,15594
10001000020,4800,5837
10001000032,5000,1983
10001000034,5000,5619
10001000040,5300,19366
10014000005,4800,0
10014000010,5000,1909
10014000020,5000,14821
10014000035,5000,5793
10014000040,5000,2453
10014000050,5000,2441
10014000060,5000,3617
10027000050,4110,1005
10027000060,5000,3241
10027000070,5000,8541
10027000080,5000,10994
10040000010,6700,76535
10040000030,4800,6403
10040000040,3000,1089
10041000010,3000,15725
10041000020,3000,4875
10041000030,4800,5800
10041000040,3000,7554
10041000060,4800,245
10041000070,4110,1742
10067000096,5000,16497
10067000102,5000,10525
10068000010,6310,13650
10068000020,5000,2509
10068000030,6700,9016
10068000035,6700,305
10068000040,4800,0
10068000050,4800,0
10068000055,6500,7030
10068000062,5000,493
10068000080,5820,7977
10068000090,5000,11114
10100000030,5000,11114
10100000040,5000,29569
10101000010,5000,62640
10102000010,5000,0
10103000100,5000,65250
10106000010,5000,15390
10106000040,5000,46151
10109000020,5000,37287
10109000025,5000,1525
10109000030,6700,16718
10109000040,6700,44573
10114000010,5810,0
10115000010,5000,62988
10144000050,6700,0
10144000090,5000,14760
10145000010,5000,124471
10147000010,5000,1359
10147000031,5810,33977
10147000071,5000,16388
10147000072,5000,1437
10147000081,5000,18818
10147000082,5000,131
10147000090,5000,6172
10147000105,5000,3267
10147000115,3000,1350
10147000120,5000,2314
10155000050,3310,6903
10155000060,6800,12379
10155000070,5000,13660
10155000085,5820,6260
10155000091,5000,13634
10155000095,6700,3311
10156050010,5811,34010
10156060010,5000,53025
10157000010,5530,4359
10157000025,5000,3484
10157000029,5000,9766
10158000010,5811,29301
10174000035,0,2425
10174000055,0,6275
10174000075,0,8846
10174000085,0,16134
10174000095,0,4410
10175000010,6260,87250
10176000010,5000,97922
10177000010,5000,6972
10177000020,5000,10651
10177000030,5000,3292
10177000040,5000,2324
10177000050,5000,7232
10177000060,5000,8588
10206060150,5000,10771
10206060160,5000,28550
10207000011,5000,296644
10207000012,5000,97530
10207000025,5000,115434
10209000010,7000,193215
10209000020,6700,0
10210050010,5000,0
10210060010,6700,0
10211040011,5000,0
10211040012,5000,0
10211070110,6700,0
10211080010,6700,0
10212000005,5000,1616
10014000070,5000,5943
10014000080,4110,1479
10014000090,4800,0
10015000010,5000,16154
10015000050,5820,3988
10015000060,5000,4054
10015000080,5810,5741
10015000090,5000,31215
10015000095,5000,174
10016000011,5000,9453
10016000020,5000,6721
10016000025,5000,1524
10016000040,4800,0
10041000080,3000,4704
10041000090,3000,1568
10041000100,4800,2488
10041000110,3221,9735
10041000115,4110,1500
10041000120,3000,15333
10041000130,3000,17032
10041000140,4800,9599
10041000150,3000,6534
10041000160,3000,2365
10041000170,4110,5140
10041000180,4800,0
10042000010,5000,87381
10070000005,6260,317335
10070000018,5000,2439
10070000020,4800,20255
10070000046,3000,29690
10071030045,3000,0
10071030050,5140,17947
10071030060,5000,6057
10071030065,5000,12093
10071030090,5000,4987
10071030500,3000,76491
10071040015,6260,26789
10071040040,5000,13155
10071040045,5000,9845
10116000015,5000,63118
10117000015,1185,0
10117000085,5000,5814
10117000100,5000,9768
10117000110,5000,5712
10118000015,4600,1
10118000016,5000,412
10119000011,5000,55931
10120000025,5000,40859
10120000045,6700,20386
10121000010,6700,52871
10122000050,5000,230215
10123000030,5000,252169
10147000130,5000,1960
10147000140,5000,21780
10148000015,5000,20822
10148000025,3000,12458
10148000035,5000,4487
10148000045,5820,8668
10148000050,5000,27507
10148000065,5000,6155
10148000071,5000,2614
10148000073,5000,16988
10148000074,5000,6534
10148000085,5000,1045
10149000010,5000,12700
10159000010,5000,2763
10159000015,4000,8165
10159000020,6700,1038
10159000030,5000,6038
10159000045,5000,81457
10159000101,5000,7230
10160000021,5810,5493
10160000030,5810,2175
10160000040,5000,2250
10160000050,5000,1350
10160000060,4800,3386
10160000070,5000,40333
10177000080,5000,3164
10177000090,5000,3164
10177000100,5000,9492
10178000010,5300,3403
10178000040,5000,2625
10178000050,5000,4875
10178000060,5000,12922
10178000090,5000,9015
10178008021,1115,0
10179000010,5000,20333
10179000020,1185,0
10180000010,5000,33733
10180000015,5000,653
10212000010,5000,49963
10212000020,5000,12197
10212000030,5000,150587
10213000010,4800,0
10214030010,6700,0
10214030030,4800,0
10214030035,5000,39640
10214030040,4800,24219
10214040030,6800,11100
10214040040,4800,40424
10214040050,4800,25003
10214040055,5000,53230
10215030010,6700,0
10215040015,5000,53143
10228000020,5000,3024
10228000030,2000,20763
10228000040,5000,10219
10229000010,5000,23498
10229000020,5000,7803
10229000030,5000,23400
10229000040,5100,7800
10230000020,3000,121619
10230000030,3000,121619
10233000010,4800,2055
10233000020,3000,26989
10233000030,4800,6256
10262000020,7600,80019
10262000030,1110,0
10262000040,1110,0
10262000050,1110,0
10262000060,1110,0
10262000070,1110,0
10262000080,1110,0
10262000090,1110,0
10262000100,1110,0
10262000110,1110,0
10262000120,1110,0
10262000130,1110,0
10262000140,1110,0
