parcel_id,zoning,lot_sqft
5090819,RAC (f30.0; a1375; d1.5) (x126),186968
5093788,RD (f15.0; a550) (x5),5999
5093881,RT (au220.0),56402
5094031,RT (au220.0),191
5124997,EH 1.0,200518
5094544,RD (f15.0; a550) (x5),5999
5095105,RD (f15.0; a550) (x5),6380
5095808,RM (f18.0; a665; u4),4783
5095826,RD (f15.0; a550) (x5),6028
5095918,RD (f15.0; a550) (x5),6000
5096009,RM (f18.0; a665; u4),3876
5096258,RD (f15.0; a550) (x5),6000
5096616,RD (f15.0; a550) (x5),5999
5096738,RD (f15.0; a550) (x5),6000
5096876,RM (f18.0; a665; u4),4436
5097104,RM (f18.0; a665; u4),3838
5097269,RD (f15.0; a550) (x5),6803
5097340,RD (f15.0; a550) (x5),5999
5097479,RM (f18.0; a665; u4),3955
5097682,RM (f18.0; a665; u4),3762
5098017,RD (f15.0; a550) (x5),6001
5098268,RM (f18.0; a665; u4),4795
5098524,RD (f15.0; a550) (x5),6534
5098936,EH 1.0,62232
5099171,RM (f18.0; a665; u4),3810
5099767,RM (f18.0; a665; u4),3698
5100618,UT,63208
5100960,EH 1.0,34061
5101387,RM (f18.0; a665; u4),3605
5101983,RM (f18.0; a665; u4),4222
5102420,RM (f18.0; a665; u4),7167
5102642,RM (f18.0; a665; u4),3660
5102750,RM (f18.0; a665; u4),3597
5102987,EH 1.0,11155
5103422,RM (f18.0; a665; u4),3899
5103468,EH 1.0,87887
5103476,RM (f18.0; a665; u4),3900
5103773,RM (f18.0; a665; u4),4250
5104015,RM (f18.0; a665; u4),4497
5104043,RM (f18.0; a665; u4),4017
5104312,RM (f18.0; a665; u4),3064
5104435,EH 1.0,15495
5104922,EH 1.0,66535
5104946,RM (f18.0; a665; u4),4500
5105064,RM (f18.0; a665; u4),5994
5104638,RM (f18.0; a665; u4),6766
5105131,RD (f15.0; a550) (x5),6010
5105797,RM (f18.0; a665; u4),3611
5105199,RM (f18.0; a665; u4),3552
5105495,RM (f18.0; a665; u4),4920
5105808,EH 1.0,31058
5106148,RD (f15.0; a550) (x5),7156
5107156,RD (f15.0; a550) (x5),6004
5106608,RM (f18.0; a665; u4),3891
5106632,RM (f18.0; a665; u4),3603
5107096,EH 1.0,26254
5107591,RM (f18.0; a665; u4),3845
5108082,RD (f15.0; a550) (x5),6549
5108142,EH 1.0,36462
5108323,EH 1.0,65495
5108488,EH 1.0,105111
5108763,RD (f15.0; a550) (x5),6163
5108905,RM (f18.0; a665; u4),3672
5108956,RD (f15.0; a550) (x5),6090
5109780,RD (f15.0; a550) (x5),6083
5109199,RD (f15.0; a550) (x5),6003
5109245,RD (f15.0; a550) (x5),6158
5109295,RM (f18.0; a665; u4),3642
5109463,RD (f15.0; a550) (x5),6144
5109505,RM (f18.0; a665; u4),4032
5110491,RD (f15.0; a550) (x5),5998
5110717,EH 1.0,137582
5111201,RD (f15.0; a550) (x5),5929
5111904,RM (f18.0; a665; u4),5465
5112123,RM (f18.0; a665; u4),4495
5112466,RM (f18.0; a665; u4),681
5112738,RD (f15.0; a550) (x5),6177
5112765,RD (f15.0; a550) (x5),7340
5113413,RD (f15.0; a550) (x5),6114
5113466,RM (f18.0; a665; u4),3599
5113547,RM (f18.0; a665; u4),4108
5113661,RM (f18.0; a665; u4),3359
5115146,RM (f18.0; a665; u4),4501
5114665,RM (f18.0; a665; u4),6930
5114770,RM (f18.0; a665; u4),3605
5114979,RM (f18.0; a665; u4),3834
5115094,RS (f12.0; a285) (x13),2187
5115313,RM (f18.0; a665; u4),5172
5116132,RM (f18.0; a665; u4),3512
5115404,RM (f18.0; a665; u4),3604
5115540,RD (f15.0; a550) (x5),6412
5115968,RM (f18.0; a665; u4),4027
5116243,RD (f15.0; a550) (x5),6583
5116480,RD (f15.0; a550) (x5),6000
5116503,RS (f12.0; a285) (x13),2127
5116591,RM (f18.0; a665; u4),3600
5116723,RM (f18.0; a665; u4),3546
5116968,E 1.0,47059
5117186,RM (f18.0; a665; u4),3596
5117417,RS (f12.0; a285) (x13),2601
5117541,RM (f18.0; a665; u4),4559
5117655,RS (f12.0; a285) (x13),886
5117763,RM (f18.0; a665; u4),3600
5118002,RM (f18.0; a665; u4),3732
5118294,OR,601
5118370,RM (f18.0; a665; u4),3831
5118540,RM (f18.0; a665; u4),4497
5118576,RM (f18.0; a665; u4),3600
5118703,RM (f18.0; a665; u4),4567
5119191,RD (f15.0; a550) (x5),6449
5119239,RM (f18.0; a665; u4),4566
5119290,RM (f18.0; a665; u4),3808
5119833,RD (f15.0; a550) (x5),5983
5120111,RM (f18.0; a665; u4),3597
5120212,RM (f18.0; a665; u4),4719
5120638,RD (f15.0; a550) (x5),5944
5120661,RD (f15.0; a550) (x5),6027
5120797,RD (f15.0; a550) (x5),9127
5121147,RM (f18.0; a665; u4),5386
5121256,RD (f15.0; a550) (x5),6166
5121421,RD (f15.0; a550) (x5),7550
5121621,RD (f15.0; a550) (x5),5996
5121728,EH 1.0,68171
5122627,RM (f18.0; a665; u4),3627
5122686,RD (f15.0; a550) (x5),6364
5122084,RD (f15.0; a550) (x5),5997
5122129,RM (f18.0; a665; u4),3530
5122394,RD (f15.0; a550) (x5),7501
5122421,EH 1.0,52980
5122778,EH 1.0,37918
5122917,EH 1.0,81
